phase profile err
0.00390625 225.0 15.0
0.01171875 177.0 13.30413469565007
0.01953125 192.0 13.856406460551018
0.02734375 215.0 14.66287829861518
0.03515625 160.0 12.649110640673518
0.04296875 178.0 13.341664064126334
0.05078125 167.0 12.922847983320086
0.05859375 176.0 13.2664991614216
0.06640625 176.0 13.2664991614216
0.07421875 166.0 12.884098726725126
0.08203125 196.0 14.0
0.08984375 132.0 11.489125293076057
0.09765625 160.0 12.649110640673518
0.10546875 172.0 13.114877048604
0.11328125 183.0 13.527749258468683
0.12109375 198.0 14.071247279470288
0.12890625 239.0 15.459624833740307
0.13671875 201.0 14.177446878757825
0.14453125 185.0 13.601470508735444
0.15234375 185.0 13.601470508735444
0.16015625 196.0 14.0
0.16796875 197.0 14.035668847618199
0.17578125 171.0 13.076696830622021
0.18359375 196.0 14.0
0.19140625 205.0 14.317821063276353
0.19921875 178.0 13.341664064126334
0.20703125 188.0 13.711309200802088
0.21484375 198.0 14.071247279470288
0.22265625 208.0 14.422205101855956
0.23046875 195.0 13.96424004376894
0.23828125 186.0 13.638181696985855
0.24609375 190.0 13.784048752090222
0.25390625 179.0 13.379088160259652
0.26171875 156.0 12.489995996796797
0.26953125 165.0 12.84523257866513
0.27734375 154.0 12.409673645990857
0.28515625 129.0 11.357816691600547
0.29296875 166.0 12.884098726725126
0.30078125 153.0 12.36931687685298
0.30859375 176.0 13.2664991614216
0.31640625 167.0 12.922847983320086
0.32421875 146.0 12.083045973594572
0.33203125 166.0 12.884098726725126
0.33984375 193.0 13.892443989449804
0.34765625 176.0 13.2664991614216
0.35546875 180.0 13.416407864998739
0.36328125 180.0 13.416407864998739
0.37109375 197.0 14.035668847618199
0.37890625 216.0 14.696938456699069
0.38671875 215.0 14.66287829861518
0.39453125 198.0 14.071247279470288
0.40234375 200.0 14.142135623730951
0.41015625 188.0 13.711309200802088
0.41796875 182.0 13.490737563232042
0.42578125 166.0 12.884098726725126
0.43359375 156.0 12.489995996796797
0.44140625 184.0 13.564659966250536
0.44921875 172.0 13.114877048604
0.45703125 191.0 13.820274961085254
0.46484375 175.0 13.228756555322953
0.47265625 207.0 14.38749456993816
0.48046875 109.0 10.44030650891055
0.48828125 104.0 10.198039027185569
0.49609375 145.0 12.041594578792296
0.50390625 138.0 11.74734012447073
0.51171875 141.0 11.874342087037917
0.51953125 131.0 11.445523142259598
0.52734375 136.0 11.661903789690601
0.53515625 103.0 10.14889156509222
0.54296875 73.0 8.54400374531753
0.55078125 86.0 9.273618495495704
0.55859375 105.0 10.246950765959598
0.56640625 108.0 10.392304845413264
0.57421875 113.0 10.63014581273465
0.58203125 124.0 11.135528725660043
0.58984375 102.0 10.099504938362077
0.59765625 112.0 10.583005244258363
0.60546875 99.0 9.9498743710662
0.61328125 132.0 11.489125293076057
0.62109375 121.0 11.0
0.62890625 142.0 11.916375287812984
0.63671875 157.0 12.529964086141668
0.64453125 134.0 11.575836902790225
0.65234375 143.0 11.958260743101398
0.66015625 159.0 12.609520212918492
0.66796875 172.0 13.114877048604
0.67578125 155.0 12.449899597988733
0.68359375 122.0 11.045361017187261
0.69140625 113.0 10.63014581273465
0.69921875 111.0 10.535653752852738
0.70703125 103.0 10.14889156509222
0.71484375 127.0 11.269427669584644
0.72265625 98.0 9.899494936611665
0.73046875 73.0 8.54400374531753
0.73828125 99.0 9.9498743710662
0.74609375 101.0 10.04987562112089
0.75390625 105.0 10.246950765959598
0.76171875 88.0 9.38083151964686
0.76953125 83.0 9.1104335791443
0.77734375 141.0 11.874342087037917
0.78515625 87.0 9.327379053088816
0.79296875 121.0 11.0
0.80078125 101.0 10.04987562112089
0.80859375 118.0 10.862780491200215
0.81640625 108.0 10.392304845413264
0.82421875 109.0 10.44030650891055
0.83203125 97.0 9.848857801796104
0.83984375 110.0 10.488088481701515
0.84765625 101.0 10.04987562112089
0.85546875 126.0 11.224972160321824
0.86328125 98.0 9.899494936611665
0.87109375 105.0 10.246950765959598
0.87890625 109.0 10.44030650891055
0.88671875 97.0 9.848857801796104
0.89453125 101.0 10.04987562112089
0.90234375 108.0 10.392304845413264
0.91015625 121.0 11.0
0.91796875 85.0 9.219544457292887
0.92578125 127.0 11.269427669584644
0.93359375 111.0 10.535653752852738
0.94140625 105.0 10.246950765959598
0.94921875 136.0 11.661903789690601
0.95703125 126.0 11.224972160321824
0.96484375 153.0 12.36931687685298
0.97265625 148.0 12.165525060596439
0.98046875 123.0 11.090536506409418
0.98828125 152.0 12.328828005937952
0.99609375 174.0 13.19090595827292
1.00390625 225.0 15.0
1.01171875 177.0 13.30413469565007
1.01953125 192.0 13.856406460551018
1.02734375 215.0 14.66287829861518
1.03515625 160.0 12.649110640673518
1.04296875 178.0 13.341664064126334
1.05078125 167.0 12.922847983320086
1.05859375 176.0 13.2664991614216
1.06640625 176.0 13.2664991614216
1.07421875 166.0 12.884098726725126
1.08203125 196.0 14.0
1.08984375 132.0 11.489125293076057
1.09765625 160.0 12.649110640673518
1.10546875 172.0 13.114877048604
1.11328125 183.0 13.527749258468683
1.12109375 198.0 14.071247279470288
1.12890625 239.0 15.459624833740307
1.13671875 201.0 14.177446878757825
1.14453125 185.0 13.601470508735444
1.15234375 185.0 13.601470508735444
1.16015625 196.0 14.0
1.16796875 197.0 14.035668847618199
1.17578125 171.0 13.076696830622021
1.18359375 196.0 14.0
1.19140625 205.0 14.317821063276353
1.19921875 178.0 13.341664064126334
1.20703125 188.0 13.711309200802088
1.21484375 198.0 14.071247279470288
1.22265625 208.0 14.422205101855956
1.23046875 195.0 13.96424004376894
1.23828125 186.0 13.638181696985855
1.24609375 190.0 13.784048752090222
1.25390625 179.0 13.379088160259652
1.26171875 156.0 12.489995996796797
1.26953125 165.0 12.84523257866513
1.27734375 154.0 12.409673645990857
1.28515625 129.0 11.357816691600547
1.29296875 166.0 12.884098726725126
1.30078125 153.0 12.36931687685298
1.30859375 176.0 13.2664991614216
1.31640625 167.0 12.922847983320086
1.32421875 146.0 12.083045973594572
1.33203125 166.0 12.884098726725126
1.33984375 193.0 13.892443989449804
1.34765625 176.0 13.2664991614216
1.35546875 180.0 13.416407864998739
1.36328125 180.0 13.416407864998739
1.37109375 197.0 14.035668847618199
1.37890625 216.0 14.696938456699069
1.38671875 215.0 14.66287829861518
1.39453125 198.0 14.071247279470288
1.40234375 200.0 14.142135623730951
1.41015625 188.0 13.711309200802088
1.41796875 182.0 13.490737563232042
1.42578125 166.0 12.884098726725126
1.43359375 156.0 12.489995996796797
1.44140625 184.0 13.564659966250536
1.44921875 172.0 13.114877048604
1.45703125 191.0 13.820274961085254
1.46484375 175.0 13.228756555322953
1.47265625 207.0 14.38749456993816
1.48046875 109.0 10.44030650891055
1.48828125 104.0 10.198039027185569
1.49609375 145.0 12.041594578792296
1.50390625 138.0 11.74734012447073
1.51171875 141.0 11.874342087037917
1.51953125 131.0 11.445523142259598
1.52734375 136.0 11.661903789690601
1.53515625 103.0 10.14889156509222
1.54296875 73.0 8.54400374531753
1.55078125 86.0 9.273618495495704
1.55859375 105.0 10.246950765959598
1.56640625 108.0 10.392304845413264
1.57421875 113.0 10.63014581273465
1.58203125 124.0 11.135528725660043
1.58984375 102.0 10.099504938362077
1.59765625 112.0 10.583005244258363
1.60546875 99.0 9.9498743710662
1.61328125 132.0 11.489125293076057
1.62109375 121.0 11.0
1.62890625 142.0 11.916375287812984
1.63671875 157.0 12.529964086141668
1.64453125 134.0 11.575836902790225
1.65234375 143.0 11.958260743101398
1.66015625 159.0 12.609520212918492
1.66796875 172.0 13.114877048604
1.67578125 155.0 12.449899597988733
1.68359375 122.0 11.045361017187261
1.69140625 113.0 10.63014581273465
1.69921875 111.0 10.535653752852738
1.70703125 103.0 10.14889156509222
1.71484375 127.0 11.269427669584644
1.72265625 98.0 9.899494936611665
1.73046875 73.0 8.54400374531753
1.73828125 99.0 9.9498743710662
1.74609375 101.0 10.04987562112089
1.75390625 105.0 10.246950765959598
1.76171875 88.0 9.38083151964686
1.76953125 83.0 9.1104335791443
1.77734375 141.0 11.874342087037917
1.78515625 87.0 9.327379053088816
1.79296875 121.0 11.0
1.80078125 101.0 10.04987562112089
1.80859375 118.0 10.862780491200215
1.81640625 108.0 10.392304845413264
1.82421875 109.0 10.44030650891055
1.83203125 97.0 9.848857801796104
1.83984375 110.0 10.488088481701515
1.84765625 101.0 10.04987562112089
1.85546875 126.0 11.224972160321824
1.86328125 98.0 9.899494936611665
1.87109375 105.0 10.246950765959598
1.87890625 109.0 10.44030650891055
1.88671875 97.0 9.848857801796104
1.89453125 101.0 10.04987562112089
1.90234375 108.0 10.392304845413264
1.91015625 121.0 11.0
1.91796875 85.0 9.219544457292887
1.92578125 127.0 11.269427669584644
1.93359375 111.0 10.535653752852738
1.94140625 105.0 10.246950765959598
1.94921875 136.0 11.661903789690601
1.95703125 126.0 11.224972160321824
1.96484375 153.0 12.36931687685298
1.97265625 148.0 12.165525060596439
1.98046875 123.0 11.090536506409418
1.98828125 152.0 12.328828005937952
1.99609375 174.0 13.19090595827292
