phase profile err
0.00390625 16.0 4.0
0.01171875 12.0 3.4641016151377544
0.01953125 20.0 4.47213595499958
0.02734375 12.0 3.4641016151377544
0.03515625 21.0 4.58257569495584
0.04296875 18.0 4.242640687119285
0.05078125 11.0 3.3166247903554
0.05859375 16.0 4.0
0.06640625 11.0 3.3166247903554
0.07421875 14.0 3.7416573867739413
0.08203125 12.0 3.4641016151377544
0.08984375 11.0 3.3166247903554
0.09765625 17.0 4.123105625617661
0.10546875 17.0 4.123105625617661
0.11328125 20.0 4.47213595499958
0.12109375 19.0 4.358898943540674
0.12890625 13.0 3.605551275463989
0.13671875 14.0 3.7416573867739413
0.14453125 24.0 4.898979485566356
0.15234375 20.0 4.47213595499958
0.16015625 10.0 3.1622776601683795
0.16796875 11.0 3.3166247903554
0.17578125 18.0 4.242640687119285
0.18359375 16.0 4.0
0.19140625 12.0 3.4641016151377544
0.19921875 18.0 4.242640687119285
0.20703125 15.0 3.872983346207417
0.21484375 16.0 4.0
0.22265625 18.0 4.242640687119285
0.23046875 20.0 4.47213595499958
0.23828125 21.0 4.58257569495584
0.24609375 15.0 3.872983346207417
0.25390625 18.0 4.242640687119285
0.26171875 13.0 3.605551275463989
0.26953125 25.0 5.0
0.27734375 10.0 3.1622776601683795
0.28515625 12.0 3.4641016151377544
0.29296875 12.0 3.4641016151377544
0.30078125 18.0 4.242640687119285
0.30859375 16.0 4.0
0.31640625 19.0 4.358898943540674
0.32421875 11.0 3.3166247903554
0.33203125 18.0 4.242640687119285
0.33984375 23.0 4.795831523312719
0.34765625 16.0 4.0
0.35546875 19.0 4.358898943540674
0.36328125 9.0 3.0
0.37109375 10.0 3.1622776601683795
0.37890625 17.0 4.123105625617661
0.38671875 15.0 3.872983346207417
0.39453125 15.0 3.872983346207417
0.40234375 13.0 3.605551275463989
0.41015625 11.0 3.3166247903554
0.41796875 11.0 3.3166247903554
0.42578125 7.0 2.6457513110645907
0.43359375 18.0 4.242640687119285
0.44140625 21.0 4.58257569495584
0.44921875 15.0 3.872983346207417
0.45703125 8.0 2.8284271247461903
0.46484375 15.0 3.872983346207417
0.47265625 17.0 4.123105625617661
0.48046875 17.0 4.123105625617661
0.48828125 19.0 4.358898943540674
0.49609375 16.0 4.0
0.50390625 13.0 3.605551275463989
0.51171875 18.0 4.242640687119285
0.51953125 22.0 4.69041575982343
0.52734375 18.0 4.242640687119285
0.53515625 15.0 3.872983346207417
0.54296875 20.0 4.47213595499958
0.55078125 18.0 4.242640687119285
0.55859375 20.0 4.47213595499958
0.56640625 12.0 3.4641016151377544
0.57421875 12.0 3.4641016151377544
0.58203125 14.0 3.7416573867739413
0.58984375 11.0 3.3166247903554
0.59765625 7.0 2.6457513110645907
0.60546875 14.0 3.7416573867739413
0.61328125 18.0 4.242640687119285
0.62109375 19.0 4.358898943540674
0.62890625 18.0 4.242640687119285
0.63671875 20.0 4.47213595499958
0.64453125 10.0 3.1622776601683795
0.65234375 18.0 4.242640687119285
0.66015625 18.0 4.242640687119285
0.66796875 11.0 3.3166247903554
0.67578125 11.0 3.3166247903554
0.68359375 11.0 3.3166247903554
0.69140625 16.0 4.0
0.69921875 15.0 3.872983346207417
0.70703125 14.0 3.7416573867739413
0.71484375 5.0 2.23606797749979
0.72265625 0.0 0.0
0.73046875 0.0 0.0
0.73828125 0.0 0.0
0.74609375 0.0 0.0
0.75390625 0.0 0.0
0.76171875 0.0 0.0
0.76953125 0.0 0.0
0.77734375 0.0 0.0
0.78515625 0.0 0.0
0.79296875 0.0 0.0
0.80078125 0.0 0.0
0.80859375 0.0 0.0
0.81640625 0.0 0.0
0.82421875 0.0 0.0
0.83203125 0.0 0.0
0.83984375 0.0 0.0
0.84765625 0.0 0.0
0.85546875 0.0 0.0
0.86328125 0.0 0.0
0.87109375 0.0 0.0
0.87890625 0.0 0.0
0.88671875 0.0 0.0
0.89453125 0.0 0.0
0.90234375 0.0 0.0
0.91015625 0.0 0.0
0.91796875 0.0 0.0
0.92578125 0.0 0.0
0.93359375 0.0 0.0
0.94140625 0.0 0.0
0.94921875 0.0 0.0
0.95703125 0.0 0.0
0.96484375 0.0 0.0
0.97265625 0.0 0.0
0.98046875 0.0 0.0
0.98828125 0.0 0.0
0.99609375 0.0 0.0
1.00390625 16.0 4.0
1.01171875 12.0 3.4641016151377544
1.01953125 20.0 4.47213595499958
1.02734375 12.0 3.4641016151377544
1.03515625 21.0 4.58257569495584
1.04296875 18.0 4.242640687119285
1.05078125 11.0 3.3166247903554
1.05859375 16.0 4.0
1.06640625 11.0 3.3166247903554
1.07421875 14.0 3.7416573867739413
1.08203125 12.0 3.4641016151377544
1.08984375 11.0 3.3166247903554
1.09765625 17.0 4.123105625617661
1.10546875 17.0 4.123105625617661
1.11328125 20.0 4.47213595499958
1.12109375 19.0 4.358898943540674
1.12890625 13.0 3.605551275463989
1.13671875 14.0 3.7416573867739413
1.14453125 24.0 4.898979485566356
1.15234375 20.0 4.47213595499958
1.16015625 10.0 3.1622776601683795
1.16796875 11.0 3.3166247903554
1.17578125 18.0 4.242640687119285
1.18359375 16.0 4.0
1.19140625 12.0 3.4641016151377544
1.19921875 18.0 4.242640687119285
1.20703125 15.0 3.872983346207417
1.21484375 16.0 4.0
1.22265625 18.0 4.242640687119285
1.23046875 20.0 4.47213595499958
1.23828125 21.0 4.58257569495584
1.24609375 15.0 3.872983346207417
1.25390625 18.0 4.242640687119285
1.26171875 13.0 3.605551275463989
1.26953125 25.0 5.0
1.27734375 10.0 3.1622776601683795
1.28515625 12.0 3.4641016151377544
1.29296875 12.0 3.4641016151377544
1.30078125 18.0 4.242640687119285
1.30859375 16.0 4.0
1.31640625 19.0 4.358898943540674
1.32421875 11.0 3.3166247903554
1.33203125 18.0 4.242640687119285
1.33984375 23.0 4.795831523312719
1.34765625 16.0 4.0
1.35546875 19.0 4.358898943540674
1.36328125 9.0 3.0
1.37109375 10.0 3.1622776601683795
1.37890625 17.0 4.123105625617661
1.38671875 15.0 3.872983346207417
1.39453125 15.0 3.872983346207417
1.40234375 13.0 3.605551275463989
1.41015625 11.0 3.3166247903554
1.41796875 11.0 3.3166247903554
1.42578125 7.0 2.6457513110645907
1.43359375 18.0 4.242640687119285
1.44140625 21.0 4.58257569495584
