#Parameter	median	upper	lower	3sig_low	3sig_up
teff	4401.8122	227.6688	212.8208	4188.9914	4629.4810
logg	4.1428	0.4120	0.3390	3.8039	4.5548
[Fe/H]	-0.1402	0.1747	0.1780	-0.3182	0.0345
dist	856.0648	37.5109	22.1218	833.9430	893.5758
rad	8.5441	0.5273	0.3934	8.1507	9.0713
Av	0.6259	0.3597	0.2546	0.3713	0.9857
grav_mass	28.9930	46.2310	15.0251	13.9679	75.2240
lum	24.8426	6.1381	5.1428	19.6998	30.9807
AD	0.0920	0.0068	0.0053	0.0867	0.0988
age	7.0916	6.3142	3.6598	1.5013	13.486232179229
iso_mas	1.0197	0.3181	0.1024	0.8479	1.937566957510228
eep	514.1469	6.0138	4.1504	501.7804	527.1063025047271
BP_noise	0.0547	0.0307	0.0264	0.0283	0.0853
G_noise	0.0222	0.0169	0.0105	0.0116	0.0390
RP_noise	0.0353	0.0292	0.0171	0.0182	0.0645
TESS_noise	0.1072	0.1174	0.0679	0.0393	0.2246
J_noise	0.1012	0.1090	0.0576	0.0436	0.2102
H_noise	0.1263	0.1158	0.0755	0.0508	0.2421
Ks_noise	0.1125	0.1119	0.0596	0.0529	0.2245
W1_noise	0.1620	0.1087	0.0833	0.0787	0.2707
IRAC 36_noise	0.2727	0.2240	0.1645	0.1082	0.4967
IRAC 45_noise	0.1518	0.1332	0.0969	0.0549	0.2851
W2_noise	0.1188	0.1238	0.0698	0.0490	0.2426
