#Parameter	median	upper	lower	3sig_low	3sig_up
teff	4770.3773	1837.2082	1246.6770	3523.7003	6607.5855
logg	3.9551	1.5098	0.4799	3.4751	5.4649
[Fe/H]	-0.1229	0.3782	0.3534	-0.4764	0.2553
dist	2063.2873	2330.9890	532.2731	1531.0142	4394.2763
rad	3.1093	3.1935	1.0265	2.0828	6.3028
Av	2.6844	2.9330	0.3619	2.3226	5.6174
grav_mass	9.2093	17.9575	8.9788	0.2305	27.1668
lum	3.5755	15.3043	3.3270	0.2485	18.8798
AD	0.0117	0.0129	0.0067	0.0050	0.0246
age	0.9012	10.8135	0.8561	0.0452	11.7147
iso_mass	0.8506	0.2498	0.2665	0.5841	1.1004
eep	342.0574	84.5356	67.3154	274.7420	426.5930
PS1_g_noise	0.2193	0.9189	0.1870	0.0322	1.1382
BP_noise	0.1582	0.2110	0.1298	0.0284	0.3692
PS1_r_noise	0.6355	7.1788	1.1552	-0.5197	7.8143
G_noise	0.0672	0.0371	0.0475	0.0197	0.1043
PS1_i_noise	0.0557	0.0751	0.0273	0.0284	0.1309
RP_noise	0.0482	0.0892	0.0416	0.0066	0.1374
TESS_noise	0.8270	6.0992	1.1729	-0.3459	6.9262
PS1_z_noise	0.8597	5.2594	1.2431	-0.3835	6.1190
PS1_y_noise	0.0977	0.1452	0.0629	0.0348	0.2430
J_noise	0.2723	0.1651	0.2406	0.0317	0.4374
IRAC 36_noise	0.3210	0.5376	0.2524	0.0686	0.8586
IRAC 45_noise	0.6610	1.1706	0.4271	0.2339	1.8316
