#Parameter	median	upper	lower	3sig_low	3sig_up
teff	4448.5216	704.9889	422.9933	4025.5283	5153.5105
logg	3.8569	0.8480	0.2348	3.6221	4.7048
[Fe/H]	0.0035	0.2037	0.2037	-0.2003	0.2072
dist	9781.4036	6399.8173	2206.8335	7574.5700	16181.2209
rad	38.6544	23.0302	8.2402	30.4142	61.6846
Av	8.4252	0.7985	1.2622	7.1630	9.2238
grav_mass	648.6657	1319.7472	565.6060	83.0598	1968.4130
lum	571.5567	925.7969	308.5990	262.9577	1497.3536
AD	0.0344	0.0218	0.0141	0.0203	0.0562
age	3.9242	8.3884	3.3824	0.0457	13.485108883425374
iso_mas	1.0166	0.4329	0.1443	0.5645	3.4406213575370477
eep	478.9715	55.0106	114.2527	110.8239	743.4453777532548
PS1_g_noise	1.4954	1.7370	0.9504	0.5450	3.2324
BP_noise	0.8915	0.3745	0.3879	0.5036	1.2660
PS1_r_noise	0.3390	0.3820	0.2168	0.1221	0.7210
G_noise	0.1567	0.0426	0.0165	0.1402	0.1993
PS1_i_noise	0.2409	0.0928	0.1058	0.1351	0.3338
RP_noise	0.1109	0.0629	0.0477	0.0632	0.1737
TESS_noise	0.7118	1.2230	0.5028	0.2091	1.9349
PS1_z_noise	0.1719	0.1004	0.0551	0.1168	0.2723
PS1_y_noise	0.0725	0.1730	0.0554	0.0172	0.2455
J_noise	0.0930	0.1138	0.0704	0.0226	0.2068
H_noise	0.0388	0.0955	0.0248	0.0140	0.1343
Ks_noise	0.1096	0.1309	0.0854	0.0242	0.2405
IRAC 36_noise	0.0728	0.2131	0.0506	0.0222	0.2859
IRAC 45_noise	0.1147	0.1968	0.0825	0.0321	0.3115
