#Parameter	median	upper	lower	3sig_low	3sig_up
teff	4826.2437	1370.3389	512.1468	4314.0969	6196.5826
logg	3.7316	1.7496	0.2768	3.4548	5.4812
[Fe/H]	-0.1574	0.2917	0.3096	-0.4670	0.1344
dist	11201.4061	5756.8535	5506.5555	5694.8506	16958.2596
rad	61.1375	13.7940	36.2731	24.8644	74.9315
Av	6.1167	1.1515	0.7402	5.3765	7.2682
grav_mass	867.2176	5012.0397	835.3399	31.8776	5879.2572
lum	973.0554	2505.7104	835.2368	137.8186	3478.7658
AD	0.0378	0.0329	0.0223	0.0155	0.0707
age	1.5789	7.3529	1.3082	0.2708	8.9319
iso_mass	1.1012	0.7225	0.2518	0.8495	1.8237
eep	664.7501	13.1249	10.9374	653.8127	677.8750
PS1_g_noise	0.1303	0.1306	0.1105	0.0198	0.2610
BP_noise	0.2772	0.1355	0.1147	0.1625	0.4127
PS1_r_noise	0.0913	0.1338	0.0866	0.0047	0.2251
G_noise	0.1254	0.0291	0.0281	0.0973	0.1545
PS1_i_noise	0.0488	0.0462	0.0239	0.0249	0.0950
RP_noise	0.0680	0.0497	0.0321	0.0360	0.1177
TESS_noise	0.5716	3.6142	0.7326	-0.1610	4.1859
PS1_z_noise	0.0474	0.0480	0.0290	0.0184	0.0953
PS1_y_noise	0.0798	0.0649	0.0708	0.0089	0.1447
IRAC 36_noise	0.2002	0.3176	0.1418	0.0584	0.5178
IRAC 45_noise	0.2730	0.2903	0.2438	0.0292	0.5632
