OBSERVATION.OBSERVATION_ID,OBSERVATION.TARGET,OBSERVATION.RA_NOM,OBSERVATION.DEC_NOM,OBSERVATION.REVOLUTION,OBSERVATION.START_UTC,OBSERVATION.END_UTC,OBSERVATION.DURATION,TARGET_TYPE.DESCRIPTION,PROPOSAL.PI_SURNAME,PROPOSAL.TYPE,OBSERVATION.PROPRIETARY_END_DATE,OBSERVATION.PPS_VERSION,OBSERVATION.COORD_OBS
810811601,PSR B0833-45,08 35 20.59,-45 10 35.2,3927,2021-05-18 20:26:37.000,2021-05-20 00:58:17.000,102700,HMXRB X-RAY PULSAR,XMM-Newton MM,Calibration,2021-06-02 00:00:00.000,19.16_20210326_1200,
810821601,3C 273,12 29 06.69,+02 03 08.6,3938,2021-06-09 19:26:58.000,2021-06-10 13:30:18.000,65000,SEYFERT,XMM-Newton MM,Calibration,2021-06-15 00:00:00.000,19.16_20210326_1200,"Astrosat, Int, NICER, NuS, Swi, Chan"
810821801,1ES 0229+200,02 32 48.61,+20 17 17.5,3968,2021-08-08 16:58:36.000,2021-08-10 04:10:16.000,126700,BL LAC,XMM-Newton MM,Calibration,2021-08-16 00:00:00.000,19.16_20210326_1200,"Astrosat, HESS, MAGIC; Swift, NuS"
810831001,1ES 1553+11.3,15 55 42.99,+11 11 24.4,3977,2021-08-26 15:43:57.000,2021-08-27 01:27:17.000,35000,BL LAC,XMM-Newton MM,Calibration,2021-09-03 00:00:00.000,19.16_20210326_1200,
810841701,RXJ1856.6-3754,18 56 36.79,-37 55 27.3,3903,2021-04-01 08:09:56.000,2021-04-02 04:01:36.000,71500,ISOLATED NEUTRON STAR,XMM-Newton MM,Calibration,2021-04-07 00:00:00.000,19.16_20210326_1200,
810841901,RXJ1856.6-3754,18 56 36.20,-37 54 37.8,4000,2021-10-11 12:32:55.000,2021-10-12 08:49:35.000,73000,ISOLATED NEUTRON STAR,XMM-Newton MM,Calibration,2021-10-18 00:00:00.000,19.16_20210326_1200,
810850701,AB Dor,05 28 44.83,-65 26 54.9,4027,2021-12-04 16:26:39.000,2021-12-05 19:58:19.000,99100,STAR K0,XMM-Newton MM,Calibration,2021-12-12 00:00:00.000,19.16_20210326_1200,
810871401,zeta Puppis,08 03 35.05,-40 00 11.3,3911,2021-04-17 09:26:22.000,2021-04-18 04:04:42.000,67100,STAR,XMM-Newton MM,Calibration,2021-04-26 00:00:00.000,19.16_20210326_1200,
810871501,zeta Puppis,08 03 35.05,-40 00 11.3,4009,2021-10-29 10:21:47.000,2021-10-30 00:16:47.000,50100,STAR,XMM-Newton MM,Calibration,2021-11-17 00:00:00.000,19.16_20210326_1200,
810880801,1ES0102-72 off-patch,01 03 47.08,-72 00 57.4,4009,2021-10-30 01:19:49.000,2021-10-30 11:03:09.000,35000,SNR,XMM-Newton MM,Calibration,2021-11-26 00:00:00.000,19.16_20210326_1200,
810880901,1ES0102-72,01 04 01.69,-72 01 51.0,4009,2021-10-30 11:23:09.000,2021-10-30 22:26:29.000,39800,SNR,XMM-Newton MM,Calibration,2021-11-26 00:00:00.000,19.16_20210326_1200,
811012701,N132D,05 24 59.24,-69 37 12.9,3884,2021-02-22 00:57:02.000,2021-02-22 14:50:22.000,50000,SNR,XMM-Newton MM,Calibration,2021-03-02 00:00:00.000,18.02_20200221_1200,
811024001,Crab,05 34 31.99,+22 00 52.0,3885,2021-02-24 01:31:12.000,2021-02-24 05:41:12.000,15000,SNR CRAB-LIKE,XMM-Newton MM,Calibration,2021-03-05 00:00:00.000,19.17_20220121_1250,
811024101,Crab,05 34 31.99,+22 00 52.0,3885,2021-02-24 19:48:54.000,2021-02-24 23:33:54.000,13500,SNR CRAB-LIKE,XMM-Newton MM,Calibration,2021-03-05 00:00:00.000,19.17_20220121_1250,
811024201,Crab,05 34 31.99,+22 00 52.0,3978,2021-08-28 15:30:35.000,2021-08-28 20:13:55.000,17000,SNR CRAB-LIKE,XMM-Newton MM,Calibration,2021-09-03 00:00:00.000,19.17_20220121_1250,
811024301,Crab,05 34 31.99,+22 00 52.0,3978,2021-08-29 07:29:35.000,2021-08-29 10:32:55.000,11000,SNR CRAB-LIKE,XMM-Newton MM,Calibration,2021-09-03 00:00:00.000,19.17_20220121_1250,
827021901,PSZ2G111.75+70.37,13 13 14.00,+46 17 30.2,3934,2021-06-02 00:33:17.000,2021-06-02 08:03:17.000,27000,CLUSTER OF GALAXIES (NON-ABELL) WITH COOLING FLOW,Arnaud-Ettori,Multi-Year Heritage,2021-06-08 00:00:00.000,19.16_20210326_1200,
827031901,PSZ2G040.03+74.95,13 59 17.39,+27 59 49.8,3940,2021-06-13 19:19:30.000,2021-06-14 04:14:30.000,32100,CLUSTER OF GALAXIES (NON-ABELL) WITH COOLING FLOW,Arnaud-Ettori,Multi-Year Heritage,2021-06-21 00:00:00.000,19.16_20210326_1200,
827061801,PSZ2G201.50-27.31,04 54 11.80,-03 02 19.7,3976,2021-08-25 14:25:30.000,2021-08-26 02:55:30.000,45000,CLUSTER OF GALAXIES (NON-ABELL) WITH COOLING FLOW,Arnaud-Ettori,Multi-Year Heritage,2021-09-27 00:00:00.000,19.16_20210326_1200,
