"OBSERVATION.OBSERVATION_ID","OBSERVATION.TARGET","OBSERVATION.RA_NOM","OBSERVATION.DEC_NOM","OBSERVATION.REVOLUTION","OBSERVATION.START_UTC","OBSERVATION.END_UTC","OBSERVATION.DURATION","TARGET_TYPE.DESCRIPTION","PROPOSAL.PI_SURNAME","PROPOSAL.TYPE","OBSERVATION.PROPRIETARY_END_DATE","OBSERVATION.PPS_VERSION","OBSERVATION.COORD_OBS"
"0886070101","MW Plane 79","17 22 24.27","-35 18 42.7","4085","2022-03-30 21:24:24.000","2022-03-31 03:46:54.000","22950","UNIDENTIFIED","Ponti","Multi-Year Heritage","2022-04-13 00:00:00.000","19.17_20220121_1250",
"0886070201","MW Plane 80","17 23 12.66","-35 39 20.6","4085","2022-03-31 04:06:54.000","2022-03-31 12:10:04.000","28990","UNIDENTIFIED","Ponti","Multi-Year Heritage","2022-04-13 00:00:00.000","19.17_20220121_1250",
"0886070301","MW Plane 81","17 26 50.20","-36 20 16.3","4357","2023-09-23 13:42:05.000","2023-09-23 21:02:05.000","26400","UNIDENTIFIED","Ponti","Multi-Year Heritage","2023-10-19 00:00:00.000","20.10_20230417_1156",
"0886070401","MW Plane 82","17 24 01.45","-35 59 57.3","4264","2023-03-22 01:06:11.000","2023-03-22 08:52:51.000","28000","UNIDENTIFIED","Ponti","Multi-Year Heritage","2023-04-20 00:00:00.000","20.10_20230417_1156",
"0886070501","MW Plane 83","17 21 20.49","-35 37 31.4","4264","2023-03-22 13:55:24.000","2023-03-22 20:18:44.000","23000","UNIDENTIFIED","Ponti","Multi-Year Heritage","2023-04-25 00:00:00.000","20.10_20230417_1156",
"0886070601","MW Plane 84","17 24 50.68","-36 20 32.9","4265","2023-03-24 01:00:39.000","2023-03-24 08:47:19.000","28000","UNIDENTIFIED","Ponti","Multi-Year Heritage","2023-04-25 00:00:00.000","20.10_20230417_1156",
"0886070701","MW Plane 85","17 22 05.01","-35 59 17.3","4264","2023-03-22 20:38:44.000","2023-03-23 03:02:04.000","23000","UNIDENTIFIED","Ponti","Multi-Year Heritage","2023-04-28 00:00:00.000","20.10_20230417_1156",
"0886070801","MW Plane 86","17 25 37.97","-36 40 56.6","4267","2023-03-28 01:13:19.000","2023-03-28 10:01:39.000","31700","UNIDENTIFIED","Ponti","Multi-Year Heritage","2023-04-27 00:00:00.000","20.10_20230417_1156",
"0886070901","MW Plane 87","17 20 12.40","-35 57 24.1","4264","2023-03-23 03:22:04.000","2023-03-23 12:05:24.000","31400","UNIDENTIFIED","Ponti","Multi-Year Heritage","2023-04-25 00:00:00.000","20.10_20230417_1156",
"0886071001","MW Plane 88","17 22 53.03","-36 20 07.8","4267","2023-03-28 10:51:40.000","2023-03-28 17:15:00.000","23000","UNIDENTIFIED","Ponti","Multi-Year Heritage","2023-04-27 00:00:00.000","20.10_20230417_1156",
"0886071101","MW Plane 89","17 23 37.57","-36 41 00.2","4268","2023-03-30 09:25:39.000","2023-03-30 17:02:19.000","27400","UNIDENTIFIED","Ponti","Multi-Year Heritage","2023-04-28 00:00:00.000","20.10_20230417_1156",
"0886071201","MW Plane 90","17 20 58.85","-36 19 01.9","4265","2023-03-24 09:07:19.000","2023-03-24 15:43:59.000","23800","UNIDENTIFIED","Ponti","Multi-Year Heritage","2023-05-26 00:00:00.000","20.10_20230417_1156",
"0886071301","MW Plane 91","17 24 32.10","-37 00 48.3","4268","2023-03-30 18:03:23.000","2023-03-31 01:40:03.000","27400","UNIDENTIFIED","Ponti","Multi-Year Heritage","2023-05-02 00:00:00.000","20.10_20230417_1156",
"0886071401","MW Plane 82","17 24 01.45","-35 59 57.3","4264","2023-03-21 22:44:31.000","2023-03-22 01:06:11.000","8500","UNIDENTIFIED","Ponti","Multi-Year Heritage","2023-04-18 00:00:00.000","20.09_20221024_1724",
"0886071501","MW Plane 84","17 24 50.68","-36 20 32.9","4265","2023-03-23 22:36:39.000","2023-03-24 01:00:39.000","8640","UNIDENTIFIED","Ponti","Multi-Year Heritage","2023-04-18 00:00:00.000","20.09_20221024_1724",
"0886071801","MW Plane 81","17 26 50.20","-36 20 16.3","4357","2023-09-23 11:10:25.000","2023-09-23 13:42:05.000","9100","UNIDENTIFIED","Ponti","Multi-Year Heritage","2023-10-19 00:00:00.000","20.10_20230417_1156",
